Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.XtraCharts.AxisLabelItem.CreatePainterInternal",9,2,0.08,0.02,
"DevExpress.XtraCharts.AxisXBase.get_IsVertical",6,2,0.06,0.02,
"DevExpress.XtraCharts.ChartAppearance.DevExpress.XtraCharts.Native.IChartAppearance.get_XYDiagramAppearance",2,2,0.02,0.02,
"DevExpress.XtraCharts.FillStyleBase.Assign",6,2,0.06,0.02,
"DevExpress.XtraCharts.FillStyleBase+OptionsCache.GetInstance",3,2,0.03,0.02,
"DevExpress.XtraCharts.FinancialDrawOptions.DeepClone",4,2,0.04,0.02,
"DevExpress.XtraCharts.Native.AxisInterval.get_Range",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.AxisIntervalMapping..ctor",3,2,0.03,0.02,
"DevExpress.XtraCharts.Native.AxisIntervalViewData..ctor",221,2,2.05,0.02,
"DevExpress.XtraCharts.Native.AxisLabelViewData.CalculateItems",52,2,0.48,0.02,
"DevExpress.XtraCharts.Native.AxisMappingBase.get_MappingBounds",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.AxisMappingBase.GetScreenPoint",69,2,0.64,0.02,
"DevExpress.XtraCharts.Native.AxisRangeDataEx+AxisRangeImp.DevExpress.Charts.Native.IAxisRange.Assign",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.AxisTickmarksViewData.GetBounds",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.DataContainer.get_Chart",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.DiagramPoint..ctor",3,2,0.03,0.02,
"DevExpress.XtraCharts.Native.DiagramPoint.get_Y",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.GraphicUtils.MakeRectangle",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.LegendViewData.Create",122,2,1.13,0.02,
"DevExpress.XtraCharts.Native.PlaneRectangle.get_RightTop",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.RangeDataBase.DevExpress.Charts.Native.IMinMaxValues.get_Max",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.RangeDataBase.DevExpress.Charts.Native.IMinMaxValues.get_Min",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.RefinedSeriesData..ctor",176,2,1.63,0.02,
"DevExpress.XtraCharts.Native.RefinedSeriesData.ConstructPointLegendText",5,2,0.05,0.02,
"DevExpress.XtraCharts.Native.RotatedTextPainterBase.CancelAngle",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.RotatedTextPainterNearLine.CalculateLeftTopPoint",8,2,0.07,0.02,
"DevExpress.XtraCharts.Native.RotatedTextPainterNearLine.CalculateRotation",2,2,0.02,0.02,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.Calculate",397,2,3.68,0.02,
"DevExpress.XtraCharts.PivotGridDataSourceOptions.UpdateAxisLabelItems",2,2,0.02,0.02,
"DevExpress.XtraCharts.Series.GetActualArgumentScaleType",30,2,0.28,0.02,
"DevExpress.XtraCharts.SeriesBase.get_ActualLabelsVisibility",13,2,0.12,0.02,
"DevExpress.XtraCharts.SeriesBase.get_LabelsVisibility",2,2,0.02,0.02,
"DevExpress.XtraCharts.SeriesViewBase.ConvertToTransparentColor",2,2,0.02,0.02,
"DevExpress.XtraCharts.XYDiagram.get_Rotated",2,2,0.02,0.02,
"DevExpress.XtraCharts.XYDiagram2D.ApplyAxesLabelBounds",4,2,0.04,0.02,
"DevExpress.XtraCharts.XYDiagramPaneBase.get_ActualEnableAxisXScrolling",5,2,0.05,0.02,
"DevExpress.XtraCharts.XYDiagramSeriesViewBase.get_ActualAxisX",2,2,0.02,0.02,
"DevExpress.XtraEditors.WindowsFormsSettings.get_ShowTouchScrollBarOnMouseMove",2,2,0.02,0.02,
"DevExpress.XtraLayout.BaseLayoutItem.GetTextSize",35,2,0.32,0.02,
"DevExpress.XtraLayout.Customization.TextHelperDispatcher.GetNonDefaultOptions",13,2,0.12,0.02,
"DevExpress.XtraLayout.Customization.TextHelperDispatcher.ShouldReturnZeroTextToControlDistance",8,2,0.07,0.02,
"DevExpress.XtraLayout.LayoutControl.DevExpress.XtraLayout.ILayoutControl.get_TextAlignManager",3,2,0.03,0.02,
"DevExpress.XtraLayout.LayoutControlImplementor.get_LayoutStyleManager",2,2,0.02,0.02,
"DevExpress.XtraLayout.LayoutControlItem.CalcDefaultMinMaxSize",59,2,0.55,0.02,
"DevExpress.XtraLayout.LayoutGroup.get_OptionsItemText",2,2,0.02,0.02,
"DevExpress.XtraLayout.OptionsItemTextGroup.get_TextAlignMode",8,2,0.07,0.02,
"DevExpress.XtraMap.Drawing.LiteVertex.set_Bisectrix",2,2,0.02,0.02,
"DevExpress.XtraMap.GeoMapCoordinateSystem.ToGeoPoint",6,2,0.06,0.02,
"DevExpress.XtraMap.MapItemStyle.Merge",3,2,0.03,0.02,
"DevExpress.XtraMap.MapPathBase`1[System.__Canon].ForEach",36,2,0.33,0.02,
"DevExpress.XtraMap.MapPathBase`1[System.__Canon].get_Segments",2,2,0.02,0.02,
"DevExpress.XtraMap.MapPathBase`1[System.__Canon].OnSegmentsChanged",40,2,0.37,0.02,
"DevExpress.XtraMap.MapPathSegment.CreateGeometry",24,2,0.22,0.02,
"DevExpress.XtraMap.MapSegmentBase.get_Layer",6,2,0.06,0.02,
"DevExpress.XtraMap.MapSegmentBase.get_Points",2,2,0.02,0.02,
"DevExpress.XtraMap.MapUnit.get_Y",2,2,0.02,0.02,
"DevExpress.XtraMap.Native.InnerMap.DevExpress.XtraMap.Native.ISupportUnitConverter.get_UnitConverter",2,2,0.02,0.02,
"DevExpress.XtraMap.Native.MapViewUnitConverter.CoordPointToMapUnit",51,2,0.47,0.02,
"DevExpress.XtraNavBar.NavBarControl.CheckViewInfo",60,2,0.56,0.02,
"DevExpress.XtraNavBar.NavBarHook.DevExpress.Utils.Win.Hook.IHookController.InternalPreFilterMessage",3,2,0.03,0.02,
